,CommonTeamRoster
0,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Russell Westbrook', 'PLAYER_SLUG': 'russell_westbrook', 'NUM': '0', 'POSITION': 'G', 'HEIGHT': '6-3', 'WEIGHT': '200', 'BIRTH_DATE': 'NOV 12, 1988', 'AGE': 31.0, 'EXP': '11', 'SCHOOL': 'UCLA', 'PLAYER_ID': 201566}"
1,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'David Nwaba', 'PLAYER_SLUG': 'david_nwaba', 'NUM': '0', 'POSITION': 'G-F', 'HEIGHT': '6-5', 'WEIGHT': '219', 'BIRTH_DATE': 'JAN 14, 1993', 'AGE': 27.0, 'EXP': '3', 'SCHOOL': 'Cal Poly-Obispo', 'PLAYER_ID': 1628021}"
2,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Chris Clemons', 'PLAYER_SLUG': 'chris_clemons', 'NUM': '3', 'POSITION': 'G', 'HEIGHT': '5-9', 'WEIGHT': '180', 'BIRTH_DATE': 'JUL 23, 1997', 'AGE': 22.0, 'EXP': 'R', 'SCHOOL': 'Campbell University', 'PLAYER_ID': 1629598}"
3,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Danuel House Jr.', 'PLAYER_SLUG': 'danuel_house_jr', 'NUM': '4', 'POSITION': 'F-G', 'HEIGHT': '6-6', 'WEIGHT': '220', 'BIRTH_DATE': 'JUN 07, 1993', 'AGE': 27.0, 'EXP': '3', 'SCHOOL': 'Texas A&M', 'PLAYER_ID': 1627863}"
4,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Bruno Caboclo', 'PLAYER_SLUG': 'bruno_caboclo', 'NUM': '5', 'POSITION': 'F', 'HEIGHT': '6-9', 'WEIGHT': '218', 'BIRTH_DATE': 'SEP 21, 1995', 'AGE': 24.0, 'EXP': '5', 'SCHOOL': 'Brazil', 'PLAYER_ID': 203998}"
5,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'DeMarre Carroll', 'PLAYER_SLUG': 'demarre_carroll', 'NUM': '9', 'POSITION': 'F', 'HEIGHT': '6-6', 'WEIGHT': '215', 'BIRTH_DATE': 'JUL 27, 1986', 'AGE': 33.0, 'EXP': '10', 'SCHOOL': 'Missouri', 'PLAYER_ID': 201960}"
6,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Eric Gordon', 'PLAYER_SLUG': 'eric_gordon', 'NUM': '10', 'POSITION': 'G', 'HEIGHT': '6-3', 'WEIGHT': '215', 'BIRTH_DATE': 'DEC 25, 1988', 'AGE': 31.0, 'EXP': '11', 'SCHOOL': 'Indiana', 'PLAYER_ID': 201569}"
7,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Luc Mbah a Moute', 'PLAYER_SLUG': 'luc_mbah_a_moute', 'NUM': '12', 'POSITION': 'F', 'HEIGHT': '6-8', 'WEIGHT': '230', 'BIRTH_DATE': 'SEP 09, 1986', 'AGE': 33.0, 'EXP': '11', 'SCHOOL': 'UCLA', 'PLAYER_ID': 201601}"
8,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'James Harden', 'PLAYER_SLUG': 'james_harden', 'NUM': '13', 'POSITION': 'G', 'HEIGHT': '6-5', 'WEIGHT': '220', 'BIRTH_DATE': 'AUG 26, 1989', 'AGE': 30.0, 'EXP': '10', 'SCHOOL': 'Arizona State', 'PLAYER_ID': 201935}"
9,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Ben McLemore', 'PLAYER_SLUG': 'ben_mclemore', 'NUM': '16', 'POSITION': 'G', 'HEIGHT': '6-3', 'WEIGHT': '195', 'BIRTH_DATE': 'FEB 11, 1993', 'AGE': 27.0, 'EXP': '6', 'SCHOOL': 'Kansas', 'PLAYER_ID': 203463}"
10,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'P.J. Tucker', 'PLAYER_SLUG': 'pj_tucker', 'NUM': '17', 'POSITION': 'F', 'HEIGHT': '6-5', 'WEIGHT': '245', 'BIRTH_DATE': 'MAY 05, 1985', 'AGE': 35.0, 'EXP': '8', 'SCHOOL': 'Texas', 'PLAYER_ID': 200782}"
11,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Thabo Sefolosha', 'PLAYER_SLUG': 'thabo_sefolosha', 'NUM': '18', 'POSITION': 'F-G', 'HEIGHT': '6-6', 'WEIGHT': '215', 'BIRTH_DATE': 'MAY 02, 1984', 'AGE': 36.0, 'EXP': '13', 'SCHOOL': ' ', 'PLAYER_ID': 200757}"
12,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Tyson Chandler', 'PLAYER_SLUG': 'tyson_chandler', 'NUM': '19', 'POSITION': 'C', 'HEIGHT': '7-0', 'WEIGHT': '235', 'BIRTH_DATE': 'OCT 02, 1982', 'AGE': 37.0, 'EXP': '18', 'SCHOOL': 'No College', 'PLAYER_ID': 2199}"
13,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Michael Frazier', 'PLAYER_SLUG': 'michael_frazier', 'NUM': '21', 'POSITION': 'G', 'HEIGHT': '6-3', 'WEIGHT': '200', 'BIRTH_DATE': 'MAR 08, 1994', 'AGE': 26.0, 'EXP': 'R', 'SCHOOL': 'Florida', 'PLAYER_ID': 1626187}"
14,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Austin Rivers', 'PLAYER_SLUG': 'austin_rivers', 'NUM': '25', 'POSITION': 'G', 'HEIGHT': '6-3', 'WEIGHT': '200', 'BIRTH_DATE': 'AUG 01, 1992', 'AGE': 27.0, 'EXP': '7', 'SCHOOL': 'Duke', 'PLAYER_ID': 203085}"
15,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Jeff Green', 'PLAYER_SLUG': 'jeff_green', 'NUM': '32', 'POSITION': 'F', 'HEIGHT': '6-8', 'WEIGHT': '235', 'BIRTH_DATE': 'AUG 28, 1986', 'AGE': 33.0, 'EXP': '11', 'SCHOOL': 'Georgetown', 'PLAYER_ID': 201145}"
16,"{'TeamID': 1610612745, 'SEASON': '2019', 'LeagueID': '00', 'PLAYER': 'Robert Covington', 'PLAYER_SLUG': 'robert_covington', 'NUM': '33', 'POSITION': 'F', 'HEIGHT': '6-7', 'WEIGHT': '209', 'BIRTH_DATE': 'DEC 14, 1990', 'AGE': 29.0, 'EXP': '6', 'SCHOOL': 'Tennessee State', 'PLAYER_ID': 203496}"
